class	key	key_value	target	original_target_value	replacement_target_value
agriculture	Item	soil depth	MIXS ID	MIXS:0000018	MIXS:1111111
agriculture	Item	total phosphorous	MIXS ID	MIXS:0000689	MIXS:0000117
migs_eu	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
migs_ba	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
migs_pl	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
migs_vi	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
migs_org	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
mims	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
mimarks_s	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
mimarks_c	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
misag	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
mimag	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
miuvig	Item	16S recovered	Structured comment name	16s_recover	x16s_recover
migs_eu	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
migs_ba	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
migs_pl	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
migs_vi	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
migs_org	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
mims	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
mimarks_s	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
mimarks_c	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
misag	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
mimag	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
miuvig	Item	16S recovery software	Structured comment name	16s_recover_software	x16s_recover_software
agriculture	Item	assembly quality	Structured comment name	assembly_quality	assembly_qual
migs_eu	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
migs_ba	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
migs_pl	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
migs_vi	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
migs_org	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
mims	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
mimarks_s	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
mimarks_c	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
misag	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
mimag	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
miuvig	Item	relevant electronic resources	Structured comment name	associated resource	associated_resource
agriculture	Item	relevant electronic resources	Structured comment name	url	associated_resource
food-human foods	Item	sample collection method	Structured comment name	sample_collec_method	samp_collect_method
symbiont-associated	Item	sample name	Structured comment name	sample_name	samp_name
food-human foods	Item	sample storage duration	Structured comment name	samp_stor_dur	samp_store_dur
food-animal and animal feed	Item	sample storage duration	Structured comment name	samp_stor_dur	samp_store_dur
food-food production facility	Item	sample storage duration	Structured comment name	samp_stor_dur	samp_store_dur
food-farm environment	Item	sample storage duration	Structured comment name	samp_stor_dur	samp_store_dur
food-human foods	Item	sample storage location	Structured comment name	samp_stor_loc	samp_store_loc
food-animal and animal feed	Item	sample storage location	Structured comment name	samp_stor_loc	samp_store_loc
food-food production facility	Item	sample storage location	Structured comment name	samp_stor_loc	samp_store_loc
food-human foods	Item	sample storage temperature	Structured comment name	samp_stor_temp	samp_store_temp
food-animal and animal feed	Item	sample storage temperature	Structured comment name	samp_stor_temp	samp_store_temp
food-food production facility	Item	sample storage temperature	Structured comment name	samp_stor_temp	samp_store_temp
food-farm environment	Item	sample storage temperature	Structured comment name	samp_stor_temp	samp_store_temp
agriculture	Item	sample storage temperature	Structured comment name	samp_stor_temp	samp_store_temp
agriculture	Item	total carbon	Structured comment name	tot_car	tot_carb
agriculture	Item	total phosphorous	Structured comment name	tot_phos	tot_phosp
food-food production facility	MIXS ID	MIXS:0000002	Expected value	type name	device name
agriculture	MIXS ID	MIXS:0000002	Expected value	type name	device name
symbiont-associated	MIXS ID	MIXS:0000009	Expected value	decimal degrees, limit to 8 decimal points	decimal degrees,  limit to 8 decimal points
agriculture	MIXS ID	MIXS:0000016	Expected value	text or OBI	text
food-food production facility	MIXS ID	MIXS:0000020	Expected value	genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar	Genetic lineage below lowest rank of NCBI taxonomy, which is subspecies, e.g. serovar, biotype, ecotype, variety, cultivar.
agriculture	MIXS ID	MIXS:0000027	Expected value	CV	names of organisms that the entity is pathogenic to
agriculture	MIXS ID	MIXS:0000031	Expected value	disease name or DO	disease name or Disease Ontology term
agriculture	MIXS ID	MIXS:0000038	Expected value	reference to amplification method; clean-up method	PMID, DOI or URL
